Name,Website,Logo URL,Opportunity Space,Overview,Problem,Solution ,Location,Funding Round,Funding Amount,Employees,Year Founded
Seebo,https://www.seebo.com/,https://xhtnh2f75kp4la0u3slg1e1d-wpengine.netdna-ssl.com/wp-content/uploads/2016/04/Logo_light.svg,Asset Health,"Seebo is a pioneer in process-based Industrial AI, with solutions to predict and prevent disruptions in manufacturing due to quality and downtime issues. ","Process inefficiencies damage production – it is hard for companies to know when and why they will happen, and how to avoid them.","Seebo provides an intuitive software that provides digital twin process modelling, process-based predictive analytics, automatic root cause analysis and predictive simulation. ",Isreal,Series A,$22m,42,2012
Uptake,https://www.uptake.com,https://raw.githubusercontent.com/RainmakingInnovation/Private_FLSRadarFull/master/assets/logos/uptake.png,Asset Health,Uptake is a predictive analytics platform that leverages IoT data. The platform gathers data from machines.,Mining companies typically do not have a robust data pipeline to support predictive maintenance and data management is not their area of expertise. ,Uptake provides an end-to-end CRM enabled solution that helps mining companies improve asset performance and enhance service management. ,USA,Series D,$282m,362,2014
Konux,https://www.konux.com/,https://www.konux.com/wp-content/themes/konux/img/konux-logo-white.svg,Asset Health,KONUX integrates smart sensor systems and artificial intelligence to maximize asset performance.,"Collecting complex data on various types of machines and equipment is challenging. Once data has been gathered and translated into maintenence requirements, scheduling can be adjusted accordingly.","KONUX offers an industrial IoT solution combining smart sensors, data fusion and AI-based analytics to increase asset availability and optimize maintenance planning.",Germany,Series B,$51.6m,81,2014
Quanergy Systems,https://quanergy.com/,https://quanergy.com/wp-content/uploads/2015/10/Quanergy_TechWave_Square-960-1.jpg,Optimisation,"Quanergy Systems develops smart sensing solutions for real-time 3D mapping and object detection, tracking, and classification.",Automated solutions for monitoring collisions in the mining space are still nascent so full automation of mines is difficult.,"Quanergy has developed a LiDAR based solution that can work even in low light environments. This is more accurate than simply using video and can be used for collision avoidance applications, dimensioning of stock piles and safe navigation of tunnels",USA,Series C,$160m,109,2012
WorldSensing,https://www.worldsensing.com,https://www.worldsensing.com/wp-content/themes/theme_worldsensing/assets/img/logo-new.png,Optimisation,"WorldSensing helps digitise the construction, infrastructure operations, mining, cities & government and parking operations.",For large projects data is often located in different sources – the lack of consolidation makes it difficult to use this data to improve operations.,Uses IoT solutions for both the construction and mining industry to dynamically measure granular touchpoints – these are then fed into dashboards turned into actionable information to improve processes. ,Spain,Series B,$10.9m,113,2008
DataProphet,https://dataprophet.com/,https://dataprophet.com/wp-content/uploads/2018/08/01-DataProphet-MLS-Logo.png,Optimisation,"DataProphet offers AI-based solutions for quality management for auto, steel, and mineral processing industries. ",Data on mining plants are often stored in different locations – it is hence difficult to map the data environment to physical locations in a plant.,DataProphet builds a unified view of processes and data unique to a specific plant to identify the optimum operating paradigm and achieve optimal yield for more predictable plant performance. ,South Africa,Series A,$14m,38,2013
Alice,https://www.alicetechnologies.com/,https://raw.githubusercontent.com/RainmakingInnovation/Private_FLSRadarFull/master/assets/logos/alice.png,Build,Alice is an artificial intelligence Building Information Model (BIM) software application for optimized construction scheduling.,Difficult for construction managers to run scenario analysis in a data driven way as data sources and management platforms are not often consolidated.,A scenario planning platform that combines client in-house expertise with sophisticated AI to create hundreds of scenarios for a project and finally a cost loaded 4D schedule that is robust and flexible. ,USA,Series A,$15.4m,31,2013
StructionSite,https://www.structionsite.com/,https://raw.githubusercontent.com/RainmakingInnovation/Private_FLSRadarFull/master/assets/logos/structionssite.png,Build,StructionSite writes software that allows a company to remotely track the progress of a project. ,"Construction companies often have to deal with time-consuming paperwork, unlabelled photos, and disorganized project updates.",Created a platform that allows users to fully capture and document an entire site (using a custom 360 video camera) thereby reducing the need for project managers to be physically onsite and manage projects. ,USA,Seed,$1.5m,25,2016
Disperse,https://disperse.io/,https://disperse.io/wp-content/uploads/2019/09/DISPERSE_LOGO-Long-copy.png,Build,Disperse is a provider of artificial intelligence-based construction site monitoring solutions and services.,The construction industry is inefficient – 69% of projects run more than 10% over budget. 75% of projects are delivered more than 10% behind schedule. ,Disperse uses a digital twin solution to provide construction companies the ability to digitally monitor faults at scale and integrate with various project management platforms.,UK,Series A,$16.7m,70,2015
PROXA,https://www.proxawater.com/,https://www.proxawater.com/wp-content/uploads/2015/08/Proxa-logo.png?x26053,Local Resources,PROXA is a leading water treatment specialist whose integrated services cover the entire water cycle and span numerous global industries (mining included). ,Low visibility of inefficiencies of water wastage in a closed system and even less visibility on best practices. ,PROXA provides a broad spectrum of services from consulting all the way to financing and operations and maintenance of water systems.,South Africa,Undisclosed,Undisclosed,145,1986
Intellia,https://www.biz4intellia.com,https://s3.amazonaws.com/s3-biz4intellia/images/logo.png,Local Resources,"Intellia IoT is a well-integrated combination of IoT devices, an IoT platform suite, and configurable business services.",Extensive manual study is required to enable measurement of real time water systems – this makes it difficult to forecast usage at a granular level.,Intellia provides pre-configured IoT solutions for water management including water quality monitoring as well as leakage detection. ,USA,Undisclosed,Undisclosed,16,2017
Fracta,https://fracta.ai,https://raw.githubusercontent.com/RainmakingInnovation/Private_FLSRadarFull/master/assets/logos/fracta.png,Local Resources,Fracta offers a Software as a Service (SaaS) software solution that uses Artificial Intelligence to assess the condition of drinking water distribution mains.,"Difficult to accurately account for and communicate water usage, in accordance with compliance regulations and agreements.",Visualises likelihood of failure (LOF) for every pipe in a given network allowing utilities to make better pipe replacement decisions.,USA,Series A,$37m,31,2013
Carbon Cure,https://www.carboncure.com/,https://static1.squarespace.com/static/5aa66c98e2ccd14f733ddc19/t/5ae530a5575d1fd630d083c2/1582039738381/?format=1500w,Decarbonisation,CarbonCure's technology recycles waste carbon dioxide (CO2) to make stronger and greener concrete. The CO2 becomes sequestered into the concrete as solid limestone.,Very costly and expensive to replace entire cement production processes and equipment with greener alternatives.,Carbon Cure has developed a retrofit piece of machinery that can be attached to almost any cement plant and capture carbon-dioxide. ,USA,Series D,$88m,42,2007
Blue Planet,http://www.blueplanet-ltd.com/,http://www.blueplanet-ltd.com/wp-content/themes/themeforest-7315054-bridge-creative-multipurpose-wordpress-theme/bridge/img/logo_black.png,Decarbonisation,Blue Planet exisits to develop and commercialize a scalable solution for CO2 mitigation that is both economically and technically sustainable.,Mining the constituent components of cements (e.g. limestone rock) often results in large amounts of CO2 release. ,"Uses a mineralization process to convert CO2 into carbon negative building materials. The carbonate rocks produced are used in place of natural limestone rock mined from quarries, which is the principal component of concrete.",USA,Series A,$4m,13,2013
