Startup,URL,Business Description,Funding Stage,Total funding (US$),Opportunity Space,Maturity,Founded,Country,Industry,Inc. Radar,Competitor,Competitor Category,Acquisition Cost (US$),Activity/Acquisition Time
Sonocrete,https://www.sonocrete.com/,"Sonocrete brings ultrasound technology to concrete production enabling strongly increased early compressive strengths, improved workability and greatly reduces the energy consumption required to set high performance concrete.",Undisclosed,Undisclosed,Construction,Emerging,2018,Germany,Cement,TRUE,,,,
NanoGence, https://www.nanogence.com/,"Nanogence, an EPFL spin-off based in Switzerland, has developed a lone additive that replaces the various additives currently used to obtain the ideal concrete, mortar or cement structure to enable the right hardness, drying time or uniformity . The additive is inorganic, which eliminates the porosity problem and leads to a prolonged lifetime of concrete. Next to that it improves the hardness of the concrete, making it possible to build thinner walls. The next step is to control the thermal insulation capabilities of concrete with their additive.",Seed,"10,000",Construction,Existing,2018,Switzerland,Cement,TRUE,,,,
Green Sulfcrete,http://www.sulfcrete.com/,"Green Sulfcrete is an energy firm that manufactures concrete products. It produces sulfur-polymer concrete substances that are recycled from gas and oil refineries. The firm's products are claimed to be ultra-impermeable and corrosion-resistant.

Sulfcrete is commercializing a Next Generation Sulphur Polymer Cement under an exclusive License from the US Department of Energy and Brookhaven National Laboratory. Sulfcrete uses byproduct material produced in oil and gas Refinement, to create a superior strength, low carbon, waterless alternative to Portland Cement, which for the first time can now be manufactured in economic parity to conventional Portland Cement.",Seed,"1,200,000",Construction,Distant,2012,USA,Cement,TRUE,,,,
Seels Technology,http://www.seelstechnology.com/,"Seels Technology have developed a new type of concrete, called TOBERITE®, which has better flexural and compressive strengths, whilst delivering a lighter more workable product. Toberite is a polymer-based concrete, in which cement is reduced and replaced with flyash, whilst traditional stone aggregates are replaced with engineered polypropylene atoms made from recycled plastic.",Seed,"681,000",Construction,Emerging,2013,Australia,Cement,TRUE,,,,
Green Basilisk,basiliskconcrete.com,"Basilisk is a company that manufactures a self-healing concrete mix. Product catalog includes self-repair agents for concrete mixes, self-repair mortar, and liquid recovery agents. Some of its projects include Groninger forum and parking garage Apeldoorn. The company claims that the products lead to a significant reduction in CO2 emission. A few of the distributors associated with the company are Basilisk Korea, Aizawa Concrete, Biu International among others.",Seed,"700,000",Construction,Emerging,2015,Delft,Cement,TRUE,,,,
"Novagg
",http://www.novagg.co.uk/,"Novagg Limited together with Imperial College London and a leading industrial partner have developed a new and highly sustainable or ‘green’ lightweight structural aggregate,

novagg® key points:

made from 98% recycled waste.
massive reduction in firing temperature (400° C lower) and time lowering carbon footprint and environmental impact.
waste is transformed into a new and sustainable material.
engineered pellets with market-leading specification in terms of density and strength.
pellets are vitreous/closed pore with extremely low water absorption (<7%).
excellent thermal and noise insulation potential.
recyclable.
successful result of a 3-year research and development project part-funded by the UK Government’s Technology Strategy Board.
business case demonstrates relatively low unit cost for product and in applications.
subject of an international patent application.
collaborative work currently being carried out on testing materials for several multi-national companies.
a major international industrial group is working with us as an informal partner on process technology.
objective is for novagg® to become an international ‘green’ construction material of choice.
now seeking global partners from across the supply chain in order to share the benefits of this exciting new product.",Seed,"500,000",Construction,Distant,2014,United Kingdom,Cement,TRUE,,,,
Carbon Upcycling,https://www.carbonupcycling.com/,"CUT’s high performing, CO  -enriched nanomaterials make the building blocks of modern life longer lasting and more effective. To encourage companies to increase their usage of fly ash and reduce their usage of cement, CUT developed a solution that upgrades fly ash. As a result, concrete that uses CUT’s enhanced fly ash is 30% stronger.",Undisclosed,Undisclosed,Construction,Emerging,2014,Canada,Cement,TRUE,,,,
Cellucomp,https://www.cellucomp.com/,"CELLUCOMP, a 100% natural concrete additive from vegetables
Cement manufacturing represents approximately 7 to 8% of the global CO2 emissions. To limit its use, the Scottish start-up CelluComp has developed an alternative: a 100% sustainable additive for industrial products. Named Curran, this agent is produced by extracting cellulose nanofibers from waste root vegetables - such as carrots and sugar beet. It can be used in a wide variety of products: paints, composite materials, concrete, stationery, as well as for food and pharmaceuticals. An excellent material for replacing cement and which when added to concrete even increases its strength. Something that will help reduce global emissions of carbon dioxide and preserve the planet.",Series A,"7,960,000",Construction,Emerging,2006,United Kingdom,Cement,TRUE,,,,
ZEN Graphene Solutions,https://zengraphene.com/,ZEN is currently developing a graphene-enhanced concrete additive in collaboration with the University of Toronto and the University of British Columbia-Okanogan campus that has the potential to increase the strength of concrete by 40%. The graphene additive also has the potential to reduce the amount of concrete required in numerous concrete applications thereby contributing to greenhouse gas emission reductions.,Undisclosed,Undisclosed,Construction,Emerging,2008,Canada,Cement,TRUE,,,,
Arqlite,https://en.arqlite.com/,"Transforming complex plastic polymers into high efficiency materials for the construction industry. This innovative recycling system can process the otherwise non-recyclable plastics, providing an eco-friendly solution at a competitive price to landfill fees. The primary product is a light artificial stone aggregate used in concrete in construction, which is ten times a better insulator and three times lighter than mineral aggregates.",Series A,"820,000",Construction,Emerging,2015,Argentina,Cement,TRUE,,,,
360SmartConnect,https://www.360sc.io/en/,"French 360Smart Connect uses a patented electronic chip that turns concrete into a smart device. The chip allows builders, contractors and clients to access construction-related-data from the concrete using a smartphone. The company says their device fills a gap in how data is used in construction. While there is plenty of information available in any given building project, it is often difficult to track.",Seed ,"28,000",Construction,Emerging,2016,France,Cement,TRUE,,,,
(Partnership) Sembcorp Design and Construction + Nanyang Technological University,http://research.ntu.edu.sg/NewsAndEvents/ResearchNews/Pages/details.aspx?URL=http://research.ntu.edu.sg/news/Pages/NTU-scientists-develop-smart-technology-for-synchronised-3D-printing-of-concrete1008-2449.aspx&Guid=d298b47b-3cf5-4307-a453-850e8491a030&Category=Research+News&print=1,Research institution has successfully developed and trialled a 3D printed concrete technology. For their first use case the team printed prefabricated unfurnished bathrooms for installation into developments. The technology has the ability to make time savings of 30% over tradittional contruction methods.,Seed,"500,000",Construction,Emerging,2001,Singapore,Cement,TRUE,,,,
Okibo,https://okibo.com/our-robot/,"Okibo designs and develops artificial intelligence robots for use in construction sites. Its chief offering is a wall plastering robot that sits atop a mobile platform and uses multiple sensors including passive lasers (LiDar), computer vision, and inertial motion sensors to create multi-dimensional sensor-fusion map which provides real-time scene identification for the robot. Additionally, it comes with a robotic arm that features 6-degrees of freedom and is equipped with proprietary gripper for pick-and-place operations or controlled extruder (for additive manufacturing tasks). The robot interfaces with a companion software, for being controlled, that adjusts the operations of the former to the changing environment based on the information processed by the sensors. Partners include GG Robotics and S-Pool.",Unfunded,n/a,Construction,Distant,2018,Israel,Cement,TRUE,,,,
Sensohive,https://sensohive.com/,"Software solution for construction companies and precast element productions to monitor the curing process of concrete. All data is gathered using wireless sensors into an intuitive software platform. Real-time maturity calculations are made and future projections on concrete strength are made based on machine learning. Maturix™, developed by Sensohive, enables easy and affordable monitoring of concrete curing in real-time – all showed in a user-friendly software solution. Maturix is used by leading construction companies all over Europe to increase capacity/productivity because they now know when the concrete is ready to progress. Companies also benefit from reduced waste, reduced energy consumption (less heating during curing) and much more.",Seed,"788,000",Construction,Existing,2014,Denmark,Cement,TRUE,,,,
Vero,https://www.buildvero.com/,"VERO Solutions Inc. (“VERO”) is an award-winning vertical innovation and urbanization company, recognized for its disruptive hybrid concrete and steel ​modular ​technology and offsite​ ​construction process​. With a continued focus on innovation and the ​effective ​convergence of design, manufacturing, construction and supply chain management, VERO is committed to ​their clients and the overall successful delivery of sustainable, high-quality mid to high-rise building projects. ",Seed,"100,000",Construction,Distant,2017,USA,Cement,TRUE,,,,
Converge,https://www.converge.io/product,"London based company, Converge, is building wireless and cloud-based technologies to help construction companies plan projects more efficiently. Their sensors can be embedded into concrete slabs, so construction companies can measure the temperature and hardness of concrete in real-time and can easily optimize the mix design. The startup specializes in monitoring concrete maturity including temperature, humidity, pressure, and pH levels. This solution eliminates the need for manual monitoring, lowers costs as well as carbon emission.",Seed,"60,000",Construction,Emerging,2014,United Kingdom,Cement,TRUE,,,,
XtreeE,xtreee.com,"XtreeE has developed a large-scale 3D printing technology for architectural design, engineering,and the construction sector.The company offers 3 services with its technology.XtreeE Access is collaborative designing and large-scale prototyping. The company rents large scale 3D printers under the service XtreeE Systems.Under the name XtreeE Platform, the company supervises all large-scale printing carried out by its clients.",Seed,Undisclosed,Construction,Emerging,2016,France,Cement,TRUE,,,,
Apis Cor,apis-cor.com,Apis Cor is the first company to develop a specialized equipment for 3D printing in the construction industry. Their technology is capable of printing wall structures entirely on-site without extra assembly required. Apis Cor develops a number of technologies for concrete 3D printing.,Series A,"6,000,000",Construction,Emerging,2014,USA,Cement,TRUE,,,,
WinSun,yhbm.com,"WinSun is an architectural 3D printing technology company principally engaged in the production and manufacture of construction parts components. Some of its features include almost no deformation, light weight, high strength, fire and environmental protection etc. Claims to have raised Series A round of funding.",Series A,"23,200,000",Construction,Existing,2010,China,Cement,TRUE,,,,
Branch,branch.technology,"Industry : Construction. 
Branch Technology developed cellular fabrication technology which essentially uses a large free-form 3D printer that solidifies building material (ABS plastic and carbon fiber mix) in open space. The printer's extruder head is connected to a 12.5' customized robotic arm ;supplied by Kuka robotics which in turn runs on a 33 ft rail. The unit can print an open 3D matrix of 25 x 58 ft which is essentially the core structure of the wall and it needs to be topped with foam insulation, concrete, and other conventional construction materials. This open 3D matrix is very light weight and they claim that 2.5 lbs of matrices can support about 3000 lbs. They also claim that using these matrices, construction costs can be dropped by about $80-140 per square foot. Recently at a GigTank event, it has been awarded Investor's Choice Award.",Series A,"10,329,724",Construction,Emerging,2015,United States,Alternative,TRUE,,,,
Full Stack Modular,https://www.fullstackmodular.com/process/,"We merge modular building with new construction technologies to bring a higher level of control, predictability, and scalability to development.",Series A,"6,000,000",Construction,Emerging,2016,USA,Cement,TRUE,,,,
Prescient,https://prescientco.com/,"Prescient’s digital design-build system is an efficient, collaborative, turnkey approach used to design and build multi-unit housing and hotel structures.
Created to revolutionize the multi-family construction industry, Prescient uses the power of technology to link the discrete disciplines of architectural design, engineering, manufacturing and assembly. Through its proprietary digital thread, Prescient is reducing time, costs and risks across the entire development, construction and operating value chain.",Series E,"105,400,000",Construction,Existing,2012,USA,Cement,TRUE,,,,
Project Frog,https://www.projectfrog.com/,"Project Frog is on a mission is to revolutionize the way buildings are created by applying technology to overcome the inefficiencies of traditional construction. The company’s approach results in a structure that is measurable greener and significantly smarter, creating brighter, healthier spaces that inspire better performance by the people who occupy them. The versatile ecosystem of products adapt to all kinds of uses including: healthcare, education and retail.

Here at Project Frog we have developed the scalable infrastructure that can be applied anywhere along your build process. Leveraging the efficiencies of prefabrication coupled with program-specific technology solutions, Project Frog will tailor solutions for your build program needs. ",Series D,"67,800,000",Construction,Existing,2006,USA,Cement,TRUE,,,,
Plant Prefab,https://www.plantprefab.com/,We use off-site production and a patented building system to construct custom homes faster and typically with less costs and construction waste. And we use non-toxic and sustainable building materials so your home is as healthy as possible – for you and the environment.,Series A,"9,700,000",Construction,Emerging,2015,USA,Cement,TRUE,,,,
Curvecrete,curvecrete.com,"Industry : Construction. 
Curvecrete is a developer of a curved concrete paneling system. The compnay has developed Zero Waste curved concrete paneling system by leveraging robotic technology. The company is using robotics to eliminate construction waste.",Seed,"20,000",Construction,Distant,2019,Australia,Alternative,TRUE,,,,
nHouse,the-nhouse.com,"Industry : Construction. 
nHouse is a manufacturer of modular homes. The homes consist of 2 stories and 3 bedrooms along with car charging port, solar roofing, underfloor heating, and other such features. The company targets property developers, housing associations, local authorities, and other providers of mass housing, for its products.",Seed,"600,000",Construction,Emerging,2016,United Kingdom,Alternative,FALSE,,,,
Blokable,blokable.com,"Blokable, Inc. provides modular housing units for developers in the United States. Its units are used for residential, retail, and mixed-use projects. Its Provides plug-n-play modular building assemblies with technology and energy built in system, and are easily customized and easily fitted while constructing. A single unit can be used as a small format home. Two or more can snap together laterally or stack for instant offices or pop-up retail space.The building assemblies can be folded and shipped with ease.",Series A,"13,000,000",Construction,Emerging,2016,USA,Cement,FALSE,,,,
Cover,cover.build,"Industry : Construction.
Cover designs and builds custom backyard studios using an in-house building system and design optimization software. Use cases include home offices, pool-houses, guest rooms, modern sheds, Airbnb spaces etc. Solutions and services include zoning research, design visualizations, site survey, planning and permit submission, geotechnical analysis, foundation and site work, and building assembly. Operational in Los Angeles as in January 2018.",Seed,"700,000",Construction,Emerging,2014,USA,Alternative,TRUE,,,,
Kasita,kasita.com,"Industry : Construction.
Kasita provides prefabricated housing units which are targeted towards individual consumers. The product is a mobile home of size 352 square feet and consists of a steel structural framework, Aluminium composite panels, and glass windows. The house also has multiple systems which can be controlled by a mobile app. The house is priced at $139,000.",Seed,"810,000",Construction,Emerging,2015,USA,Alternative,FALSE,,,,
Connect Homes,connect-homes.com,"Connect Homes provides prefabricated modular homes ranging between 1-4 bedrooms and 640 SqFt-3200 SqFt. Claims to have a patented technology that completes 90% of the home modules in the factory including doors, windows, cabinets, finishes, electrical, plumbing, and mechanical. The pricing varies between $215,000-$678,000 excluding onsite works.",Series A,"15,130,000",Construction,Existing,2011,USA,Cement,FALSE,,,,
